Species,Genome Size (bp)
Mycoplasma mycoides subsp. mycoides SC str. Gladysdale,1193808
Candidatus Borrelia fainii,1195152
Candidatus Liberibacter americanus str. Sao Paulo,1195201
Candidatus Vallotia tarda,1196295
Ehrlichia muris AS145,1196717
Candidatus Pantoea carbekii,1196948
Wolbachia endosymbiont (group A) of Epirrhoe alternata,1197405
Anaplasma marginale str. St. Maries,1197687
Spiroplasma sp. NBRC 100390,1199621
Spiroplasma sp. TU-14,1199640
Mycoplasma sp. NEAQ87857,1200019
Wolbachia endosymbiont of Ctenocephalides felis wCfeJ,1201647
Chlamydiifrater phoenicopteri,1201875
Anaplasma marginale str. Florida,1202435
Spiroplasma corruscae,1204639
Chlamydiifrater volucris,1205214
Chlamydia serpentis,1206142
Candidatus Profftia lariciata,1206213
Anaplasma centrale str. Israel,1206806
Powai lake megavirus,1208707
Spiroplasma endosymbiont of Aspidapion aeneum,1209723
Mycoplasma mycoides subsp. mycoides SC str. PG1,1211703
Mycoplasma mycoides subsp. capri,1211756
Wolbachia endosymbiont (group A) of Phasia obesa,1212319
Wolbachia endosymbiont (group B) of Ennomos erosarius,1214654
Anaplasma ovis str. Haibei,1214674
Mesomycoplasma ovipneumoniae,1219419
Wolbachia endosymbiont (group A) of Nomada fucata,1220863
Acanthamoeba polyphaga mimivirus,1221932
Mycoplasmoides fastidiosum,1221951
Candidatus Nanopelagicus hibericus,1223088
Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,1224919
Candidatus Bandiella woodruffii,1225299
Spiroplasma litorale,1225519
Candidatus Profftia tarda,1225795
Chlamydia pneumoniae TW-183,1225935
Chlamydia pneumoniae J138,1226565
Wolbachia endosymbiont of Aedes albopictus,1226577
Candidatus Liberibacter asiaticus str. psy62,1227328
Chlamydia crocodili,1228996
Borreliella garinii,1229416
Chlamydia pneumoniae AR39,1229853
Chlamydia pneumoniae,1229887
Chlamydia pneumoniae CWL029,1230230
Spiroplasma endosymbiont of Dioctria linearis,1230581
Rickettsia akari str. Hartford,1231060
Wolbachia endosymbiont of Anopheles demeilloni,1231247
Candidatus Nitrosopelagicus brevis,1232128
Borreliella valaisiana,1233452
Neoehrlichia mikurensis,1236870
Candidatus Liberibacter asiaticus,1237165
Spiroplasma endosymbiont of Cantharis nigra,1237520
Candidatus Nanopelagicus limnes,1238108
Candidatus Vallotia cooleyia,1240189
Wolbachia endosymbiont of Encarsia formosa,1240520
Lentilactobacillus laojiaonis,1242019
Borrelia recurrentis A1,1242163
Mycoplasmopsis citelli,1242365
Spiroplasma endosymbiont of Cantharis rufa,1242918
Spiroplasma endosymbiont of Agriotes lineatus,1243119
Wolbachia endosymbiont of Drosophila aff. chauvacae BK-2020,1244713
Chlamydia pneumoniae LPCoLN,1248550
Borrelia sp. RT1S,1249215
Rickettsia sibirica 246,1250021
Wolbachia endosymbiont of Cimex lectularius,1250060
Candidatus Methanoliparum sp. LAM-1,1254503
Wolbachia endosymbiont (group A) of Paraperithous gnathaulax,1254541
Rickettsia rickettsii str. Brazil,1255681
Rickettsia rickettsii str. R,1257005
Wolbachia endosymbiont (group A) of Chalcis sispes,1257686
Rickettsia rickettsii str. 'Sheila Smith',1257745
Candidatus Liberibacter solanacearum CLso-ZC1,1258278
Wolbachia endosymbiont (group B) of Xylocampa areola,1258831
Borreliella valaisiana VS116,1258864
Wolbachia endosymbiont (group B) of Germaria angustata,1261049
Spiroplasma turonicum,1261375
Wolbachia endosymbiont (group A) of Cydia amplana,1264178
Wolbachia endosymbiont (group A) of Ancistrocerus nigricornis,1265149
Wolbachia endosymbiont (group B) of Pammene fasciana,1266982
Rickettsia rickettsii str. Arizona,1267197
Wolbachia endosymbiont (group B) of Agriphila inquinatella,1267716
Wolbachia endosymbiont of Aedes aegypti,1267801
Rickettsia rickettsii str. Iowa,1268201
Candidatus Liberibacter asiaticus str. gxpsy,1268237
Wolbachia endosymbiont of Drosophila willistoni,1268528
Rickettsia conorii str. Malish 7,1268755
Wolbachia endosymbiont (group B) of Pheosia tremula,1268782
Rickettsia rickettsii,1269677
Rickettsia rickettsii str. Morgan,1269809
Rickettsia rickettsii str. Hino,1269837
Rickettsia rickettsii str. Colombia,1270083
Rickettsia rickettsii str. Hlp#2,1270751
Wolbachia endosymbiont (group A) of Cydia strobilella,1270816
Wolbachia endosymbiont (group A) of Phalera bucephala,1271809
Wolbachia endosymbiont of Drosophila mauritiana,1273530
Wolbachia endosymbiont (group A) of Sicus ferrugineus,1273940
Dialister pneumosintes,1274073
Wolbachia endosymbiont (group B) of Eupeodes latifasciatus,1274269
Rickettsia slovaca 13-B,1275089
Rickettsia slovaca str. D-CWPP,1275720
Rickettsia conorii subsp. heilongjiangensis 054,1278471
Wolbachia endosymbiont of Wiebesia pumilae,1278697
Wolbachia endosymbiont of Zaprionus tsacasi,1279110
Rickettsia conorii subsp. heilongjiangensis,1279380
Rickettsia montanensis str. OSU 85-930,1279798
Borreliella bavariensis PBi,1279859
Borrelia venezuelensis,1282705
Rickettsia japonica YH,1283087
Borrelia turcica IST7,1283624
Rickettsia japonica,1284037
Malacoplasma iowae,1284112
Spiroplasma floricola 23-6,1284130
Spiroplasma tabanidicola,1284335
Wolbachia endosymbiont (group A) of Lasioglossum morio,1284394
Candidatus Pelagibacter sp. IMCC9063,1284727
Wolbachia endosymbiont (group B) of Thymelicus sylvestris,1286255
Wolbachia endosymbiont (group A) of Trypoxylon clavicerum,1287268
Rickettsia philipii str. 364D,1287740
Apilactobacillus bombintestini,1289211
Wolbachia endosymbiont of Drosophila innubila,1290587
Rickettsia africae ESF-5,1290917
Wolbachia endosymbiont (group B) of Alcis repandata,1294175
Wolbachia endosymbiont (group B) of Xanthorhoe designata,1295045
Wolbachia endosymbiont (group A) of Merzomyia westermanni,1295457
Wolbachia endosymbiont of Drosophila simulans wHa,1295804
Ignicoccus hospitalis KIN4/I,1297538
Wolbachia endosymbiont (group A) of Ectemnius continuus,1299221
Spiroplasma endosymbiont of Lasioglossum malachurum,1299709
Rickettsia parkeri str. Portsmouth,1300386
Wolbachia endosymbiont of Drosophila simulans wNo,1301823
Thermosphaera aggregans,1305106
Rickettsia rhipicephali str. 3-7-female6-CWPP,1305467
Wolbachia endosymbiont (group A) of Lasioglossum lativentre,1306351
Wolbachia endosymbiont (group B) of Hylaea fasciaria,1307821
Wolbachia endosymbiont of Drosophila pseudotakahashii,1308415
Candidatus Pelagibacter ubique HTCC1062,1308759
Candidatus Mesenet endosymbiont of Phosphuga atrata,1310365
Borreliella mayonii,1311545
Wolbachia endosymbiont (group B) of Lycaena phlaeas,1312310
Spiroplasma endosymbiont of Asaphidion curtum,1313897
Desulfurococcus mucosus DSM 2162,1314639
Ehrlichia canis,1314789
Rickettsia peacockii str. Rustic,1314898
Ehrlichia canis str. Jake,1315030
Malacoplasma iowae 695,1315476
Thermosphaera aggregans DSM 11486,1316595
Borreliella bavariensis,1318124
Fervidicoccus fontis Kam940,1319206
Wolbachia endosymbiont of Ostrinia scapulalis,1320340
Wolbachia endosymbiont of Ostrinia furnacalis,1321828
Rickettsia australis str. Cutlack,1323280
Wolbachia endosymbiont (group A) of Eristalinus aeneus,1323550
Candidatus Bipolaricaulis anaerobius,1324338
Wolbachia endosymbiont (group B) of Falcaria lacertinaria,1325863
Spiroplasma helicoides,1326546
Methanocaldococcus infernus ME,1328194
Wolbachia endosymbiont (group A) of Philanthus triangulum,1328576
Candidatus Planktophila limnetica,1328793
Wolbachia endosymbiont (group B) of Celastrina argiolus,1329046
Wolbachia endosymbiont (group A) of Tiphia femorata,1330165
Sneathia vaginalis,1330224
Wolbachia endosymbiont of Drosophila melanogaster,1330657
Candidatus Planktophila versatilis,1331009
Spiroplasma endosymbiont of Lonchoptera lutea,1332076
Wolbachia endosymbiont (group B) of Pararge aegeria,1332905
Wolbachia endosymbiont (group B) of Udea ferrugalis,1333469
Spiroplasma alleghenense,1336077
Rhodoluna sp. KAS3,1338021
Wolbachia endosymbiont (group A) of Alloplasta piceator,1338593
Borreliella burgdorferi N40,1339539
Wolbachia endosymbiont of Spodoptera picta,1339720
Wolbachia endosymbiont (group A) of Apotomis capreana,1341671
Wolbachia endosymbiont (group A) of Conops quadrifasciatus,1342634
Spiroplasma endosymbiont of Dromius quadrimaculatus,1343660
Candidatus Planktophila sulfonica,1344614
Borreliella burgdorferi ZS7,1345494
Wolbachia endosymbiont (group A) of Anoplius nigerrimus,1345805
Wolbachia endosymbiont (group B) of Athalia cordata,1345841
Rickettsia parkeri,1348030
Wolbachia endosymbiont (group A) of Gastracanthus pulcherrimus,1348666
Rickettsia conorii subsp. raoultii,1349828
Wolbachia endosymbiont (group A) of Aleiodes leptofemur,1350575
Wolbachia endosymbiont of Drosophila simulans,1353394
Rickettsia monacensis,1353450
Wolbachia endosymbiont (group A) of Pheosia gnoma,1353731
Wolbachia endosymbiont (group A) of Sphaerophoria taeniata,1354582
Wolbachia endosymbiont (group A) of Bibio marci,1355351
Thermogladius calderae 1633,1356318
Candidatus Methylopumilus planktonicus,1356428
Malacoplasma penetrans HF-2,1358633
Wolbachia endosymbiont (group A) of Sphecodes monilicornis,1359653
Candidatus Tisiphia endosymbiont of Empis tessellata,1360024
Candidatus Nitrosomarinus catalina,1360076
Fructilactobacillus sanfranciscensis,1360847
Wolbachia endosymbiont (group E) of Neria commutata,1361155
Dehalococcoides mccartyi CG5,1362151
Aquiluna borgnonia,1362706
Candidatus Planktophila vernalis,1364004
Candidatus Pelagibacter sp. FZCC0015,1364101
Spiroplasma eriocheiris CCTCC M 207170,1364757
Desulfurococcus amylolyticus 1221n,1365223
Candidatus Pelagibacter giovannonii,1365705
Spiroplasma eriocheiris,1365714
Candidatus Planktophila dulcis,1365934
Wolbachia endosymbiont (group A) of Cheilosia soror,1368130
Wolbachia endosymbiont (group A) of Ischnus inquisitorius,1369153
Candidatus Steffania adelgidicola,1369541
Spiroplasma chinense,1370182
Wolbachia endosymbiont (group A) of Icerya purchasi,1372034
Wolbachia endosymbiont (group B) of Xestia c-nigrum,1372377
Cardinium endosymbiont of Tipula unca,1374024
Fructilactobacillus sanfranciscensis TMW 1.1304,1375770
Rickettsia massiliae MTU5,1376184
Spiroplasma endosymbiont of Panzeria rudis,1376578
Wolbachia endosymbiont of Chrysomya megacephala,1376868
Rickettsia sp. MEAM1 (Bemisia tabaci),1378618
Spiroplasma endosymbiont of Monopis laevigella,1381161
Wolbachia endosymbiont (group B) of Nymphalis c-album,1381694
Wolbachia endosymbiont of Corcyra cephalonica,1381884
Dehalococcoides mccartyi CG4,1382308
Wolbachia endosymbiont (group A) of Acrocera orbiculus,1383045
Wolbachia endosymbiont (group A) of Machimus atricapillus,1383300
Spiroplasma endosymbiont of Notiophilus biguttatus,1383962
Desulfurococcus amylolyticus DSM 16532,1384116
Wolbachia endosymbiont (group B) of Emmelina monodactyla,1385742
Bodo saltans virus,1385869
Weissella tructae,1386044
Wolbachia endosymbiont (group A) of Pipizella viduata,1386646
Wolbachia endosymbiont (group A) of Coremacera marginata,1387347
Fructilactobacillus fructivorans,1388767
Dichelobacter nodosus VCS1703A,1389350
Borrelia hermsii HS1,1390006
Candidatus Bodocaedibacter vickermanii,1391311
Wolbachia endosymbiont (group A) of Dendrolimus pini,1391420
Wolbachia endosymbiont (group A) of Portevinia maculata,1391997
Wolbachia endosymbiont (group B) of Phasia obesa,1392969
Wolbachia endosymbiont of Drosophila yakuba,1394392
Ignicoccus islandicus DSM 13165,1394664
Dehalococcoides mccartyi CBDB1,1395502
Wolbachia endosymbiont (group B) of Agrotis puta,1395952
Wolbachia endosymbiont (group B) of Colias croceus,1396841
Wolbachia endosymbiont (group A) of Oxytorus armatus,1398936
Methanonatronarchaeum sp. AMET6-2,1398990
Wolbachia endosymbiont (group A) of Ophion costatus,1399493
Wolbachia endosymbiont of Drosophila ananassae,1401460
Wolbachia endosymbiont (group B) of Episyrphus balteatus,1402288
Borreliella bissettiae DN127,1403443
Dehalococcoides mccartyi GY50,1407418
Wolbachia endosymbiont (group B) of Eucosma cana,1407591
Wolbachia endosymbiont of Drosophila santomea,1409094
Candidatus Desulfovibrio trichonymphae,1410056
Dehalococcoides mccartyi VS,1413462
Fructobacillus americanaquae,1414204
Wolbachia endosymbiont (group A) of Campoletis raptor,1416219
Wolbachia endosymbiont (group A) of Yponomeuta plumbellus,1418562
Rickettsia asiatica,1419085
Rickettsia helvetica,1419877
Helicobacter cholecystus,1420261
Prymnesium kappa virus,1421182
Wolbachia endosymbiont (group A) of Volucella bombylans,1421666
Wolbachia endosymbiont (group A) of Nomada ferruginata,1421673
Fructilactobacillus ixorae,1422963
Wolbachia endosymbiont (group B) of Villa cingulata,1423723
Rhodoluna limnophila,1424253
Rickettsia asembonensis,1424426
Candidatus Rhodoluna planktonica,1424506
Coprothermobacter proteolyticus DSM 5265,1424912
Rhodoluna lacicola,1430433
Wolbachia endosymbiont (group A) of Gymnosoma rotundatum,1431527
Dehalococcoides mccartyi DCMB5,1431902
Wolbachia endosymbiont (group A) of Ophion ellenae,1432666
Spiroplasma endosymbiont of Poecilobothrus nobilitatus,1434273
Wolbachia endosymbiont (group A) of Protocalliphora azurea,1434285
Wolbachia endosymbiont (group A) of Lasioglossum villosulum,1435495
Wolbachia endosymbiont (group A) of Andrena trimmerana,1435785
Aciduliprofundum sp. MAR08-339,1437090
Wolbachia endosymbiont of Psylliodes chrysocephala,1438854
Rickettsia tillamookensis,1438972
Wolbachia endosymbiont (group A) of Nomada fabriciana,1438975
Wolbachia endosymbiont (group A) of Macropis europaea,1439111
Wolbachia endosymbiont (group A) of Andrena bucephala,1439395
secondary endosymbiont of Ctenarytaina eucalypti,1441139
Weissella koreensis KACC 15510,1441470
Bartonella bacilliformis,1443410
Spiroplasma endosymbiont of 'Nebria riversi',1443729
Candidatus Atelocyanobacterium thalassa isolate ALOHA,1443806
Bartonella bacilliformis KC583,1445021
Wolbachia endosymbiont (group A) of Cephus spinipes,1445443
Wolbachia sp. wRi,1445873
Fannyhessea vaginae,1447017
Phoenicibacter congonensis,1447956
Isorropodon fossajaponicum endosymbiont JTNG4,1447997
Rickettsia rhipicephali,1448632
Anaplasma phagocytophilum,1449336
Wolbachia endosymbiont of Carposina sasakii,1449344
Dehalococcoides mccartyi IBARAKI,1451056
Dehalococcoides mccartyi BTF08,1452335
Fructilactobacillus lindneri,1452432
Wolbachia endosymbiont (group A) of Lasioglossum fulvicorne,1454780
Wolbachia endosymbiont (group A) of Brachyopa scutellaris,1456049
Spiroplasma sp. SV19,1456516
Wolbachia endosymbiont (group A) of Nomada flava,1458098
Fructilactobacillus myrtifloralis,1458675
Aquiluna sp. KACHI24,1459348
Fructilactobacillus cliffordii,1459401
Candidatus Planktophila lacus,1460061
Wolbachia endosymbiont (group A) of Rhorus exstirpatorius,1462951
Wolbachia endosymbiont (group B) of Phalera bucephala,1462992
Apilactobacillus apinorum,1463863
Wolbachia endosymbiont of Frankliniella intonsa,1463884
Rickettsia endosymbiont of Cantharis rufa,1463984
Fructilactobacillus hinvesii,1465046
Campylobacter insulaenigrae NCTC 12927,1465081
Acholeplasma hippikon,1465667
Wolbachia endosymbiont (group B) of Chesias legatella,1465951
Wolbachia endosymbiont (group A) of Andrena fulva,1466785
Bartonella ancashensis,1467695
endosymbiont of Bathymodiolus septemdierum str. Myojin knoll,1469434
Dehalococcoides mccartyi 195,1469720
Anaplasma phagocytophilum str. HZ,1471282
Candidatus Phycorickettsia trachydisci,1472411
Dehalococcoides sp. UCH007,1473548
Candidatus Tisiphia endosymbiont of Dioctria linearis,1474797
Candidatus Mesenet endosymbiont of Agriotes lineatus,1474810
Cotonvirus japonicus,1476527
Anaplasma phagocytophilum str. HZ2,1477581
Wolbachia endosymbiont (group A) of Eupithecia tripunctaria,1478719
Candidatus Tisiphia endosymbiont of Nemotelus nigrinus,1479614
Rickettsia amblyommatis,1480876
Rickettsia amblyommatis str. GAT-30V,1480884
Candidatus Endolissoclinum faulkneri L2,1481191
Anaplasma phagocytophilum str. JM,1481598
Wolbachia endosymbiont (group A) of Epistrophe grossularia,1483876
Wolbachia pipientis wAlbB,1484007
Rickettsia endosymbiont of Seladonia tumulorum,1484098
Spiroplasma endosymbiont of Acasis viretata,1484762
Wolbachia endosymbiont (group A) of Anomoia purmunda,1485790
Dehalococcoides mccartyi CG1,1486678
Aciduliprofundum boonei T469,1486778
Campylobacter lari subsp. concheus,1488515
Candidatus Methanoplasma termitum,1488669
Spiroplasma endosymbiont of Nebria brevicollis,1490306
Fructilactobacillus carniphilus,1491353
cyanobacterium endosymbiont of Braarudosphaera bigelowii,1491611
Wolbachia endosymbiont (group A) of Hedychridium roseum,1491694
Bartonella sp. JB63,1493693
Wolbachia endosymbiont (group A) of Andrena haemorrhoa,1494005
Bartonella sp. JB15,1494018
Bombilactobacillus thymidiniphilus,1494436
Wolbachia endosymbiont (group A) of Myopa testacea,1495096
Methanothermobacter tenebrarum,1495190
Spiroplasma endosymbiont of Tricholauxania praeusta,1495235
Candidatus Tisiphia endosymbiont of Dascillus cervinus,1495290
Wolbachia endosymbiont (group B) of Pilophorus perplexus,1495511
Wolbachia endosymbiont of Ctenocephalides felis wCfeT,1495538
Wolbachia endosymbiont (group A) of Beris morrisii,1496271
Acidilobus saccharovorans 345-15,1496453
Acholeplasma laidlawii PG-8A,1496992
Borrelia hermsii DAH,1498568
Wolbachia endosymbiont (group B) of Agrotis exclamationis,1499236
Candidatus Nitrosopumilus sp. SW,1499620
Ehrlichia ruminantium str. Gardel,1499920
Campylobacter insulaenigrae,1500187
Thermocrinis albus DSM 14484,1500577
Campylobacter lari subsp. concheus LMG 11760,1502102
Wolbachia endosymbiont (group A) of Volucella inflata,1502844
Wolbachia endosymbiont (group B) of Yponomeuta malinellus,1503263
Methanofervidicoccus sp. A16,1504113
Liberibacter crescens BT-1,1504659
Weissella ceti,1505791
Methanocaldococcus fervens AG86,1507251
Lactobacillus iners,1507452
Wolbachia endosymbiont (group B) of Campaea margaritaria,1507681
Helicobacter pylori Aklavik86,1507930
Wolbachia endosymbiont (group B) of Pandemis corylana,1510263
Candidatus Rhabdochlamydia porcellionis,1511852
Rickettsia endosymbiont of Lasioglossum villosulum,1512138
Candidatus Thioglobus autotrophicus,1512449
Spiroplasma endosymbiont of Lasioglossum villosulum,1512716
Spiroplasma endosymbiont of Thecophora atra,1513007
Campylobacter lari subsp. lari,1513347
Borreliella burgdorferi,1513701
Spiroplasma kunkelii CR2-3x,1514561
Candidatus Arthromitus sp. SFB-rat-Yit,1515556
Ehrlichia ruminantium str. Welgevonden,1516355
Ehrlichia ruminantium,1516356
Campylobacter lari RM16701,1516455
Wolbachia endosymbiont (group A) of Sympetrum striolatum,1516596
Campylobacter sp. RM10537,1516908
Campylobacter volucris LMG 24379,1517949
Candidatus Endolissoclinum faulkneri L5,1518636
Candidatus Tisiphia endosymbiont of Myopa tessellatipennis,1519401
Campylobacter hepaticus,1520669
Thermocrinis ruber,1521037
Borreliella burgdorferi B31,1521208
Dehalococcoides mccartyi,1521287
Rickettsia bellii RML369-C,1522076
Liberibacter crescens,1522119
Bartonella clarridgeiae 73,1522743
Thermococcus sp. P6,1522818
Campylobacter lari CCUG 22395,1523028
Amygdalobacter nucleatus,1524258
Wolbachia endosymbiont (group B) of Apotomis turbidana,1525755
